M1,M2,M3,M4,q1_1,q2_1,q3_1,q4_1,q5_1,q6_1,q7_1,q8_1,q9_1,q10_1,q11_1,q12_1,q13_1,q14_1,q15_1,q16_1,q17_1,q18_1,q19_1,q20_1,q21_1,q22_1,q23_1,q24_1,q25_1,q26_1,q27_1,q28_1,q29_1,q30_1,q31_1,q32_1,q33_1,q34_1,q35_1,q36_1,q37_1,q38_1,q39_1,q40_1
2,24,3,2,2,2,4,4,4,4,4,1,1,1,4,4,1,3,4,1,1,1,3,4,4,1,3,1,4,1,4,1,4,1,1,4,4,4,1,3,4,4,4,4
3,26,3,2,4,5,3,4,4,2,3,4,3,3,3,3,2,3,2,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
2,31,3,2,1,1,3,2,4,2,3,2,3,4,3,3,1,3,2,2,4,3,3,4,3,3,3,2,3,4,3,2,3,3,3,4,3,4,3,4,3,2,3,3
2,26,2,1,2,5,2,5,5,4,5,2,5,4,5,5,4,2,4,4,4,4,4,4,2,4,2,2,2,4,4,1,2,4,4,2,4,5,5,2,4,2,2,2
2,23,5,1,2,4,4,1,5,1,1,1,2,4,1,1,1,4,1,4,1,1,2,3,1,2,4,4,4,1,2,3,1,1,2,1,1,1,4,5,1,1,4,1
2,25,2,1,1,1,4,1,1,1,4,1,1,2,4,4,1,1,1,1,1,4,3,4,4,2,5,1,4,2,4,1,4,2,3,5,4,1,1,4,4,1,4,4
2,25,3,2,3,3,3,3,3,1,5,1,5,3,5,5,1,3,5,1,1,4,4,5,5,2,3,1,5,1,1,1,4,1,1,1,4,5,5,4,4,3,3,2
2,22,3,2,3,4,1,2,4,5,3,1,5,5,5,5,3,4,4,2,3,2,4,4,3,3,2,1,4,3,1,1,2,2,2,2,5,5,4,3,4,3,3,4
2,25,3,2,3,4,2,4,4,2,2,1,4,1,4,4,4,2,4,3,4,2,4,4,4,1,2,1,2,1,4,1,2,1,1,1,4,4,4,2,2,4,2,2
2,31,3,1,2,4,1,4,4,1,1,1,2,2,2,2,2,2,4,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,2,2,4,2,2,2,4,2,2
2,30,3,2,3,5,2,2,5,2,1,3,4,4,4,3,2,4,4,2,4,4,4,4,3,3,1,1,1,5,1,2,3,3,4,3,5,5,4,2,1,5,2,1
1,30,3,2,2,4,3,5,5,4,5,2,4,4,5,5,2,4,4,5,5,4,5,5,5,3,4,2,4,3,4,2,3,2,2,4,4,5,5,3,4,3,4,3
1,29,3,1,1,4,4,4,3,2,4,1,4,1,4,4,2,3,3,4,2,5,4,4,5,1,2,1,4,1,4,1,5,1,1,4,4,4,3,4,4,2,4,4
2,27,3,2,1,1,5,2,5,1,1,3,4,3,5,4,1,3,1,4,3,3,4,5,4,2,2,1,4,1,3,1,3,2,2,4,3,3,2,3,3,2,3,4
1,23,3,2,1,4,1,1,2,3,1,1,1,4,4,4,1,5,4,1,1,5,5,5,1,4,1,4,5,4,1,4,3,4,4,2,3,3,2,2,2,2,2,2
1,38,3,2,2,3,4,3,4,2,4,2,2,2,5,3,2,3,2,5,3,4,3,4,2,2,3,2,3,2,4,2,3,2,2,3,3,3,3,3,4,2,3,3
1,32,3,1,3,4,1,4,3,2,1,1,4,1,4,2,4,3,2,4,2,2,3,4,2,1,4,1,4,1,3,1,4,1,1,3,4,3,4,3,2,2,3,2
2,63,3,1,3,4,1,3,4,3,1,3,4,1,3,2,2,5,1,1,3,2,2,3,4,1,1,1,4,1,1,1,3,1,3,1,4,3,3,3,4,4,1,3
2,61,3,2,3,1,1,3,4,1,1,1,4,1,2,2,2,4,5,2,3,1,4,5,4,1,2,1,4,1,2,1,2,1,1,1,4,4,3,4,3,4,4,4
